KODS,TIPS_CD,NOSAUKUMS,VKUR_CD,VKUR_TIPS,APSTIPR,APST_PAK,STATUSS,SORT_NOS,DAT_SAK,DAT_MOD,DAT_BEIG,ATRIB,STD
"100376636","107","Siguldas iela","100003495","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Ķegums, Ogres nov."
"100366336","107","Siguldas iela","100003358","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Limbaži, Limbažu nov."
"100386108","107","Siguldas iela","100003606","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Vangaži, Ropažu nov."
"100379168","107","Siguldas iela","100003526","104","Y","252","EKS","Siguldas iela","2003.04.28","2021.06.30","","","Siguldas iela, Līvāni, Līvānu nov."
"100330977","107","Siguldas iela","100003044","104","Y","252","EKS","Siguldas iela","1999.03.16","2022.11.08","","","Siguldas iela, Liepāja"
"100335158","107","Siguldas iela","100003060","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Ventspils"
"100311467","107","Siguldas prospekts","100003003","104","Y","252","EKS","Siguldas prospekts","1999.03.16","2025.05.15","","","Siguldas prospekts, Rīga"
"100456236","107","Siguldas šoseja","100184700","106","Y","253","ERR","Siguldas šoseja","2006.12.01","2021.06.30","","","Siguldas šoseja, Berģi, Garkalnes pag., Ropažu nov."
"100426695","107","Siksnēnu iela","100101417","106","Y","252","EKS","Siksnēnu iela","2002.02.11","2021.06.30","","","Siksnēnu iela, Skrīveri, Skrīveru pag., Aizkraukles nov."
"100468765","107","Sikspārņu iela","100184717","106","Y","252","EKS","Sikspārņu iela","2009.04.29","2021.06.30","","","Sikspārņu iela, Bukulti, Garkalnes pag., Ropažu nov."
"100486404","107","Sila ceļš","100128476","106","Y","252","EKS","Sila ceļš","2014.11.12","2021.06.30","","","Sila ceļš, Garoza, Salgales pag., Jelgavas nov."
"100458682","107","Sila iela","100184251","106","Y","252","EKS","Sila iela","2007.03.27","2021.06.30","","","Sila iela, Kadaga, Ādažu pag., Ādažu nov."
"100455773","107","Sila iela","100204864","106","Y","252","EKS","Sila iela","2006.10.17","2021.06.30","","","Sila iela, Jaundubeņi, Grobiņas pag., Dienvidkurzemes nov."
